,name,categories,lat,lng
0,Le Berbere Palace,Hotel,30.923443614706166,-6.909762579846524
1,3 Thés,Restaurant,30.921389455886015,-6.910880177970375
2,Restaurant Galas,Diner,30.920315,-6.911922
3,Habouss,Tea Room,30.921604946674712,-6.914141118027358
4,Chez Dimitri - The Greek,Restaurant,30.92038697014668,-6.915340990802284
5,Athlas Mountains,Mountain,30.922727170439618,-6.911498533315123
6,Chez Nabil Resto,Café,30.922944412984844,-6.911833914924023
7,Kenzi Azghor Hotel Ouarzazate,Hotel,30.9205116389622,-6.908143573057177
8,Le Jardin Des Arômes,Middle Eastern Restaurant,30.92011,-6.915424
