,name,categories,lat,lng
0,Café Bilal,Café,33.43566966511363,-5.220527604762386
1,Azrou,Hotel,33.43576879862604,-5.220063759403387
2,Marché Azrou,Gourmet Shop,33.4369538354838,-5.221154566571534
3,Complexe sportif Azrou,Basketball Stadium,33.436668395996094,-5.226719379425049
