,name,categories,lat,lng
0,Cinéma L'Opera,Indie Movie Theater,34.04569784842174,-6.811191854200146
1,Station tramway Opéra,Light Rail Station,34.04310311063091,-6.811630725860596
2,Station Mohammed V Opera,Train Station,34.043221,-6.811047
3,Restaurant Shell Food,Restaurant,34.04834862847629,-6.81445687927883
4,Pizzeria Macha'Allah,Pizza Place,34.048443143008086,-6.81570223651454
5,Tramway Station - Dyar,Train Station,34.04096082533883,-6.81533836600583
6,Costa Rica,Café,34.04469296045863,-6.808607158946203
