,name,categories,lat,lng
0,Corniche de M'diq,Plaza,35.68507136738097,-5.322297477609636
1,Restaurant Cocodrillo,Mediterranean Restaurant,35.68429932957341,-5.321886200992688
2,Plage De M'diq,Beach,35.68513788302673,-5.322409816032666
3,Golden Beach Hotel,Hotel Bar,35.68602775756587,-5.323074980409708
4,Restaurant Olas,Seafood Restaurant,35.68508348317917,-5.321732872271647
5,Cafeteria Badis,Café,35.68718531575928,-5.324493222917491
6,Venezia Ice,Café,35.682853951560716,-5.318001421704698
7,Café Blue Sky,Café,35.685290273037765,-5.321791056393171
8,Maxime,Sandwich Place,35.68296313210113,-5.320203938057953
